구분,업소명,소재지(도로명),소재지전화번호,최신재지정일자,주된음식,데이터기준일자
145,짬뽕순두부백년짜장,전라북도 전주시 덕진구 가리내10길 12-6 (덕진동2가),063 -288 -5888,2019-11-19,짜장면,2020-10-31
146,금암동태마을,"전라북도 전주시 덕진구 전주천동로 494 (금암동, 1층)",063 -242 -5252,2019-11-19,"동태찜, 동태탕",2020-10-31
147,감성9092돼지,"전라북도 전주시 덕진구 건산로 223 (인후동1가, 2층)",063 -246 -0592,2019-11-19,돼지고기 등,2020-10-31
148,정가네양평해장국아중2호점,전라북도 전주시 덕진구 아중로 146 (인후동1가),063 -241 -4447,2019-11-19,해장국등,2020-10-31
149,한옥떡갈비본점,전라북도 전주시 덕진구 전주천동로 495 (금암동),063 -251 -6869,2019-11-19,떡갈비,2020-10-31
150,김판쇠전주우족탕,"전라북도 전주시 덕진구 태진로 132, 1층 (금암동)",063 -252 -5010,2019-11-19,우족탕등,2020-10-31
151,놀부보쌈부대찌개덕진점,"전라북도 전주시 덕진구 가련산로 25 (덕진동2가, 201호, 202호)",063 -255 -5539,2019-11-19,보쌈류,2020-10-31
152,행복삼계탕,"전라북도 전주시 덕진구 팔달로 357-25 (진북동, 1층~3층)",063 - 255-9333,2019-11-19,자장면 등,2020-10-31
153,지평선한돈전주점,"전라북도 전주시 덕진구 시천로 110-6, 1동 1층 (송천동2가)",063 -273 -3392,2019-11-19,삼겹살,2020-10-31
154,정가네양평해장국아중점,"전라북도 전주시 덕진구 건산로 259, 1층 (우아동2가)",063 -244 -4411,2019-11-19,"해장국, 콩나물국",2020-10-31
155,샤브향전주아중점,"전라북도 전주시 덕진구 건산로 259, 2층 (우아동2가)",063 -246 -4488,2019-11-19,샤브샤브,2020-10-31
156,건지산도토리,"전라북도 전주시 덕진구 동부대로 1051, 1층 (송천동2가)",063 -255 -1415,2019-11-19,냉면 등,2020-10-31
157,한가람금암점,"전라북도 전주시 덕진구 기린대로 365, 1동 1층 (금암동)",063 -253 -0988,2019-11-19,설렁탕,2020-10-31
158,무진장순두부,"전라북도 전주시 덕진구 조경단로 92 (금암동, 1동 102호일부, 103호)",063 -255 -3500,2019-11-19,순두부찌게 등,2020-10-31
159,돔베초밥,"전라북도 전주시 덕진구 아중로 231, 1층 (우아동2가)",063 -241 -5566,2019-11-19,초밥류,2020-10-31
